NDVI_JUN, NDVI_JUL, NDVI_AUG, NDVI_SEP, NDVI_OCT, NDVI_NOV
0.310464, 0.335328, 0.572394, 0.555365, 0.452619, 0.406841
0.431844, 0.426989, 0.632236, 0.628615, 0.546415, 0.499318
0.202136, 0.303092, 0.523191, 0.388465, 0.313244, 0.28077
0.304488, 0.450986, 0.581701, 0.503702, 0.369235, 0.35626
0.361914, 0.281211, 0.637723, 0.61482, 0.53437, 0.471641
0.318351, 0.512886, 0.6491, 0.495534, 0.38537, 0.366105
0.439617, 0.536661, 0.655601, 0.649033, 0.540161, 0.527818
0.321448, 0.507689, 0.628199, 0.541187, 0.415093, 0.416268
0.228894, 0.347878, 0.584453, 0.467886, 0.374186, 0.311315
0.383694, 0.411544, 0.618152, 0.540893, 0.435445, 0.444097
0.293997, 0.291083, 0.619542, 0.523857, 0.402872, 0.432367
0.45214, 0.585818, 0.611563, 0.697247, 0.617794, 0.56976
0.302197, 0.431342, 0.668147, 0.530895, 0.365681, 0.341204
0.251731, 0.397681, 0.575336, 0.475727, 0.409988, 0.349704
0.324124, 0.348848, 0.593834, 0.501396, 0.411676, 0.428125
0.388979, 0.386665, 0.549754, 0.600051, 0.522981, 0.479221
0.354574, 0.332387, 0.59341, 0.458217, 0.358643, 0.422941
0.367652, 0.461985, 0.583183, 0.623476, 0.520414, 0.493348
0.302423, 0.297901, 0.594339, 0.550387, 0.441276, 0.404944
0.388789, 0.546012, 0.605607, 0.617421, 0.51717, 0.465452
0.421675, 0.581583, 0.60005, 0.693674, 0.601839, 0.563678
0.255711, 0.295195, 0.56104, 0.361784, 0.305522, 0.374204
0.229655, 0.414649, 0.55902, 0.388576, 0.308894, 0.297259
0.42693, 0.481735, 0.584133, 0.609558, 0.512415, 0.515147
0.297586, 0.406339, 0.589194, 0.416076, 0.34465, 0.360854
0.348474, 0.560006, 0.63462, 0.563815, 0.438388, 0.41883
0.351222, 0.447963, 0.545625, 0.570234, 0.484981, 0.446848
0.308327, 0.448155, 0.631405, 0.499703, 0.342894, 0.345218
0.266929, 0.255588, 0.597559, 0.457363, 0.357762, 0.406887
0.291534, 0.520307, 0.616087, 0.52832, 0.464985, 0.398219
0.325647, 0.500358, 0.68639, 0.518805, 0.389567, 0.398324
0.323166, 0.562734, 0.641981, 0.560238, 0.455474, 0.416811
0.331006, 0.437338, 0.585808, 0.525682, 0.401622, 0.396636
0.407516, 0.525779, 0.628533, 0.649588, 0.527828, 0.500795
0.39433, 0.539989, 0.600272, 0.596356, 0.523217, 0.500789
0.333429, 0.458847, 0.621703, 0.465255, 0.330544, 0.350921
0.290575, 0.41188, 0.652947, 0.525599, 0.403055, 0.374952
0.281335, 0.444645, 0.646811, 0.497641, 0.394828, 0.358671
0.368568, 0.548078, 0.614933, 0.582389, 0.534426, 0.498626
0.28368, 0.474599, 0.656954, 0.426592, 0.347647, 0.330583
0.302303, 0.369935, 0.611042, 0.410784, 0.311182, 0.403259
0.418389, 0.583752, 0.606471, 0.637243, 0.572897, 0.560645
0.264769, 0.46483, 0.651962, 0.470306, 0.332945, 0.336046
