Domain,Area,Element,Item,Year,Unit,Value
Crops,Dewas,Yield,Soybean,2014,hg/ha,"6763,75"
Crops,Dhar,Yield,Soybean,2014,hg/ha,"8959,11"
Crops,Dindori,Yield,Soybean,2014,hg/ha,11000
Crops,Guna,Yield,Soybean,2014,hg/ha,"15874,13"
Crops,Gwalior,Yield,Soybean,2014,hg/ha,"7142,86"
Crops,Harda,Yield,Soybean,2014,hg/ha,"13465,91"
Crops,Hoshangabad,Yield,Soybean,2014,hg/ha,"16507,94"
Crops,Indore,Yield,Soybean,2014,hg/ha,"10585,59"
Crops,Jabalpur,Yield,Soybean,2014,hg/ha,"11860,47"
Crops,Jhabua,Yield,Soybean,2014,hg/ha,"8360,66"
Crops,Katni,Yield,Soybean,2014,hg/ha,10000
Crops,Mandla,Yield,Soybean,2014,hg/ha,"12727,27"
Crops,Mandsaur,Yield,Soybean,2014,hg/ha,"7896,68"
Crops,Morena,Yield,Soybean,2014,hg/ha,10000
Crops,Narsinghpur,Yield,Soybean,2014,hg/ha,"13058,82"
Crops,Neemuch,Yield,Soybean,2014,hg/ha,"8115,94"
Crops,Panna,Yield,Soybean,2014,hg/ha,"11714,29"
Crops,Raisen,Yield,Soybean,2014,hg/ha,"12605,04"
Crops,Rajgarh,Yield,Soybean,2014,hg/ha,"13523,81"
Crops,Ratlam,Yield,Soybean,2014,hg/ha,"8820,96"
Crops,Rewa,Yield,Soybean,2014,hg/ha,"10140,85"
Crops,Sagar,Yield,Soybean,2014,hg/ha,"12617,45"
Crops,Satna,Yield,Soybean,2014,hg/ha,"20416,67"
Crops,Sehore,Yield,Soybean,2014,hg/ha,"13367,88"
Crops,Seoni,Yield,Soybean,2014,hg/ha,12875
Crops,Shahdol,Yield,Soybean,2014,hg/ha,12500
Crops,Shajapur,Yield,Soybean,2014,hg/ha,7800
Crops,Sheopur,Yield,Soybean,2014,hg/ha,"9807,69"
Crops,Shivpuri,Yield,Soybean,2014,hg/ha,"16266,67"
Crops,Sidhi,Yield,Soybean,2014,hg/ha,15000
Crops,Tikamgarh,Yield,Soybean,2014,hg/ha,"16578,95"
Crops,Ujjain,Yield,Soybean,2014,hg/ha,"6928,41"
Crops,Umaria,Yield,Soybean,2014,hg/ha,"11428,57"
Crops,Vidisha,Yield,Soybean,2014,hg/ha,"11686,27"
Crops,Anuppur,Yield,Soybean,2015,hg/ha,5000
Crops,Ashoknagar,Yield,Soybean,2015,hg/ha,"13241,38"
Crops,Balaghat,Yield,Soybean,2015,hg/ha,7800
Crops,Barwani,Yield,Soybean,2015,hg/ha,"10882,35"
Crops,Betul,Yield,Soybean,2015,hg/ha,"4921,26"
Crops,Bhind,Yield,Soybean,2015,hg/ha,10000
Crops,Bhopal,Yield,Soybean,2015,hg/ha,"6288,66"
Crops,Burhanpur,Yield,Soybean,2015,hg/ha,"5263,16"
Crops,Chhatarpur,Yield,Soybean,2015,hg/ha,"10204,08"
Crops,Chhindwara,Yield,Soybean,2015,hg/ha,"8854,17"
Crops,Damoh,Yield,Soybean,2015,hg/ha,"13106,8"
Crops,Datia,Yield,Soybean,2015,hg/ha,"7777,78"
Crops,Dewas,Yield,Soybean,2015,hg/ha,"6231,45"
Crops,Dhar,Yield,Soybean,2015,hg/ha,"13090,28"
Crops,Dindori,Yield,Soybean,2015,hg/ha,11000
Crops,Guna,Yield,Soybean,2015,hg/ha,"6075,95"
Crops,Gwalior,Yield,Soybean,2015,hg/ha,12500
Crops,Harda,Yield,Soybean,2015,hg/ha,"5436,24"
Crops,Hoshangabad,Yield,Soybean,2015,hg/ha,"4629,63"
Crops,Indore,Yield,Soybean,2015,hg/ha,"7623,32"
Crops,Jabalpur,Yield,Soybean,2015,hg/ha,"6666,67"
Crops,Jhabua,Yield,Soybean,2015,hg/ha,"14444,44"
Crops,Katni,Yield,Soybean,2015,hg/ha,10000
Crops,Mandla,Yield,Soybean,2015,hg/ha,"13333,33"
Crops,Mandsaur,Yield,Soybean,2015,hg/ha,"7526,5"
Crops,Morena,Yield,Soybean,2015,hg/ha,"13333,33"
Crops,Narsinghpur,Yield,Soybean,2015,hg/ha,"7205,88"
Crops,Neemuch,Yield,Soybean,2015,hg/ha,"7222,22"
Crops,Panna,Yield,Soybean,2015,hg/ha,"6206,9"
Crops,Raisen,Yield,Soybean,2015,hg/ha,"4468,09"
Crops,Rajgarh,Yield,Soybean,2015,hg/ha,"6076,7"
Crops,Ratlam,Yield,Soybean,2015,hg/ha,"8956,52"
Crops,Rewa,Yield,Soybean,2015,hg/ha,"7037,04"
Crops,Sagar,Yield,Soybean,2015,hg/ha,"7834,39"
Crops,Satna,Yield,Soybean,2015,hg/ha,"4444,44"
Crops,Sehore,Yield,Soybean,2015,hg/ha,"5675,68"
Crops,Seoni,Yield,Soybean,2015,hg/ha,"6363,64"
Crops,Shahdol,Yield,Soybean,2015,hg/ha,"7333,33"
Crops,Shajapur,Yield,Soybean,2015,hg/ha,"7588,93"
Crops,Sheopur,Yield,Soybean,2015,hg/ha,"9767,44"
Crops,Shivpuri,Yield,Soybean,2015,hg/ha,"6687,9"
Crops,Sidhi,Yield,Soybean,2015,hg/ha,"6666,67"
Crops,Tikamgarh,Yield,Soybean,2015,hg/ha,"6170,21"
Crops,Ujjain,Yield,Soybean,2015,hg/ha,"7230,77"
Crops,Umaria,Yield,Soybean,2015,hg/ha,4000
Crops,Vidisha,Yield,Soybean,2015,hg/ha,"6591,64"
Crops,Anuppur,Yield,Soybean,2016,hg/ha,"13333,33"
Crops,Ashoknagar,Yield,Soybean,2016,hg/ha,"6496,35"
Crops,Balaghat,Yield,Soybean,2016,hg/ha,"6363,64"
Crops,Barwani,Yield,Soybean,2016,hg/ha,"14166,67"
Crops,Betul,Yield,Soybean,2016,hg/ha,"13333,33"
Crops,Bhind,Yield,Soybean,2016,hg/ha,"10227,27"
Crops,Bhopal,Yield,Soybean,2016,hg/ha,15000
Crops,Burhanpur,Yield,Soybean,2016,hg/ha,"10714,29"
Crops,Chhatarpur,Yield,Soybean,2016,hg/ha,"13150,68"
Crops,Chhindwara,Yield,Soybean,2016,hg/ha,"8571,43"
Crops,Damoh,Yield,Soybean,2016,hg/ha,"5714,29"
Crops,Datia,Yield,Soybean,2016,hg/ha,"14827,59"
Crops,Dewas,Yield,Soybean,2016,hg/ha,"15986,16"
Crops,Dhar,Yield,Soybean,2016,hg/ha,13000
Crops,Dindori,Yield,Soybean,2016,hg/ha,"8190,48"
Crops,Guna,Yield,Soybean,2016,hg/ha,10000
Crops,Gwalior,Yield,Soybean,2016,hg/ha,"15177,3"
Crops,Harda,Yield,Soybean,2016,hg/ha,"11630,43"
Crops,Hoshangabad,Yield,Soybean,2016,hg/ha,"15882,35"
Crops,Indore,Yield,Soybean,2016,hg/ha,10000
Crops,Jabalpur,Yield,Soybean,2016,hg/ha,"16060,61"
Crops,Jhabua,Yield,Soybean,2016,hg/ha,10000
Crops,Katni,Yield,Soybean,2016,hg/ha,"13734,44"
Crops,Mandla,Yield,Soybean,2016,hg/ha,"13846,15"
Crops,Mandsaur,Yield,Soybean,2016,hg/ha,"15248,23"
Crops,Morena,Yield,Soybean,2016,hg/ha,"8636,36"
Crops,Narsinghpur,Yield,Soybean,2016,hg/ha,"8536,59"
Crops,Neemuch,Yield,Soybean,2016,hg/ha,"11719,75"
Crops,Panna,Yield,Soybean,2016,hg/ha,"14569,89"
Crops,Raisen,Yield,Soybean,2016,hg/ha,"8541,67"
Crops,Rajgarh,Yield,Soybean,2016,hg/ha,"5344,83"
Crops,Ratlam,Yield,Soybean,2016,hg/ha,"7230,77"
Crops,Rewa,Yield,Soybean,2016,hg/ha,"14851,85"
Crops,Sagar,Yield,Soybean,2016,hg/ha,"13846,15"
Crops,Satna,Yield,Soybean,2016,hg/ha,10000
Crops,Sehore,Yield,Soybean,2016,hg/ha,"14879,03"
Crops,Seoni,Yield,Soybean,2016,hg/ha,11500
Crops,Shahdol,Yield,Soybean,2016,hg/ha,"8707,48"
Crops,Shajapur,Yield,Soybean,2016,hg/ha,"9090,91"
Crops,Sheopur,Yield,Soybean,2016,hg/ha,"14662,31"
