DISTRICTS,YEAR,LST_JUN,LST_JUL,LST_AUG,LST_SEP,LST_OCT,LST_NOV
Neemuch,2013,314.6239,308.2842,301.0712,306.7091,307.2044,302.962
Neemuch,2014,316.3539,311.8546,305.3027,304.8025,309.6557,305.8668
Neemuch,2015,316.3456,306.4527,301.8,309.1801,311.7532,306.4407
Neemuch,2016,318.3539,304.4506,300.0213,306.0915,308.2618,305.5973
Neemuch,2017,315.1744,310.2658,301.9505,306.7371,310.9908,304.2717
Neemuch,2018,313.327,306.5318,300.5272,304.0168,309.2509,305.1015
Neemuch,2019,318.9768,308.8384,300.9253,302.2553,304.7153,303.5294
Panna,2010,318.8003,311.9218,302.936,303.7047,304.9025,304.3991
Panna,2011,316.0303,305.6001,302.4148,303.2263,306.4069,304.4147
Panna,2012,317.2518,313.9977,301.9969,303.2967,306.7824,303.455
Panna,2013,316.6933,302.9665,299.6166,303.5558,303.5353,302.4555
Panna,2014,317.6549,311.8927,305.7419,306.5541,306.2584,304.8596
Panna,2015,316.1079,304.8971,303.8301,305.5908,309.4644,305.1007
Panna,2016,318.2133,302.1341,302.7856,304.277,305.6041,303.5154
Panna,2017,316.1606,301.675,303.6339,304.2158,307.5148,303.6859
Panna,2018,316.8526,312.0644,301.9795,303.3666,307.4088,304.57
Panna,2019,319.1926,307.9066,301.8912,302.6589,302.8665,303.5121
Raisen,2010,316.5769,309.3676,302.1665,304.199,306.9879,304.8498
Raisen,2011,317.5513,306.345,302.559,303.6418,307.5781,305.9206
Raisen,2012,316.3803,311.3144,303.7101,303.8973,307.6849,304.1768
Raisen,2013,317.5109,303.7155,301.8941,305.1815,306.0449,303.5494
Raisen,2014,317.7611,311.819,305.6083,304.5897,306.6538,305.3147
Raisen,2015,317.5427,306.1234,302.1008,305.7628,309.1988,306.1552
Raisen,2016,316.4196,306.1623,301.8566,303.7414,304.9803,304.2223
Raisen,2017,315.5827,306.557,302.5216,303.7408,306.112,304.3457
Raisen,2018,312.8101,307.0624,298.8619,303.4768,306.8742,305.025
Raisen,2019,320.5203,309.4392,298.5138,300.4016,302.818,303.1821
Rajgarh,2010,318.9734,311.3402,302.8049,306.1064,310.6491,306.9067
Rajgarh,2011,318.2914,307.4796,302.2159,305.5753,310.8175,307.9887
Rajgarh,2012,316.3996,314.5438,301.0202,305.4327,310.7391,306.3427
Rajgarh,2013,316.6541,309.1295,302.2078,307.684,309.4487,304.7952
Rajgarh,2014,317.5417,314.6845,307.3838,305.556,310.1539,308.2965
Rajgarh,2015,319.1147,306.8434,301.412,307.8498,312.5206,308.065
Rajgarh,2016,317.8895,305.5753,300.5972,306.1797,309.7171,307.2466
Rajgarh,2017,315.7777,311.3118,302.1316,306.6891,311.3362,305.6914
Rajgarh,2018,313.0986,309.2059,298.99,306.5227,311.5366,306.4577
Rajgarh,2019,320.7744,309.641,300.8342,302.1072,305.3273,304.9484
Ratlam,2010,317.7509,309.7008,300.9952,306.5472,311.2419,307.8746
Ratlam,2011,315.2476,310.0232,300.566,305.5042,311.1505,308.2478
Ratlam,2012,314.7154,308.9002,301.9393,305.5482,311.1477,306.1827
Ratlam,2013,313.9425,305.3559,299.4485,307.2994,308.2168,304.6643
Ratlam,2014,316.1927,309.5029,305.7122,304.1706,310.8172,308.554
Ratlam,2015,318.1926,307.0078,300.9069,308.4821,312.7643,308.2605
Ratlam,2016,318.2982,305.99,298.7973,305.4049,308.481,306.7853
Ratlam,2017,313.2178,309.0475,300.0154,306.582,311.644,305.4969
Ratlam,2018,312.7485,304.4796,298.153,306.3088,311.1286,306.468
Ratlam,2019,318.7348,308.3033,300.3821,302.2397,305.858,305.1969
Rewa,2010,319.961,312.8297,305.2875,304.4268,306.2602,305.0871
Rewa,2011,319.5269,307.6745,304.1864,302.7379,305.138,303.4386
Rewa,2012,318.1763,311.3514,303.3332,303.4177,305.5745,302.4707
Rewa,2013,314.4543,302.8732,302.1533,303.2695,302.0667,301.2204
Rewa,2014,316.3871,308.3859,306.3185,305.5375,304.2995,302.9789
Rewa,2015,317.0759,306.7202,305.8496,305.4559,308.8737,303.9642
Rewa,2016,317.6291,307.261,305.0335,304.5758,304.3161,302.4136
Rewa,2017,316.8041,303.8388,303.9818,305.0097,306.4471,303.2997
Rewa,2018,313.9848,312.5004,305.1372,304.3288,306.7194,303.7413
Rewa,2019,319.0848,308.8371,303.0485,303.1182,302.7901,302.914
Sagar,2010,318.4038,310.099,301.548,304.0748,307.467,305.3804
Sagar,2011,318.2663,306.7584,301.7884,304.1835,308.5,306.4789
Sagar,2012,317.1681,314.4873,301.7144,304.4922,309.3104,305.4054
Sagar,2013,317.3023,303.9943,301.5264,304.7982,306.3519,304.3249
Sagar,2014,317.5827,312.1322,305.8118,305.8249,309.1399,306.8492
Sagar,2015,317.2812,306.1129,302.9748,306.6899,311.729,307.097
Sagar,2016,317.885,307.0187,302.5816,305.0719,307.9626,305.886
Sagar,2017,316.1678,307.0728,302.9483,305.1594,308.7805,305.0619
Sagar,2018,314.6289,308.9111,300.8273,305.0992,309.6548,306.201
Sagar,2019,320.2743,310.7303,300.0174,302.0444,304.7768,304.7809
Satna,2010,318.2406,312.0997,304.0853,303.2965,305.1477,304.2586
Satna,2011,316.5122,305.5231,302.8019,302.5684,305.2752,303.6341
Satna,2012,317.3852,312.941,302.7225,303.1925,305.7021,302.6254
Satna,2013,316.1683,301.9777,300.1988,302.6187,302.1935,301.5749
Satna,2014,317.1869,310.6087,305.7398,305.3486,304.4837,303.5458
Satna,2015,316.5654,306.1546,304.7616,305.1051,308.574,304.1172
Satna,2016,317.4293,300.688,304.2783,304.2529,304.4863,302.4946
Satna,2017,315.9033,303.6197,305.0472,304.5083,306.6229,303.3033
Satna,2018,316.1278,310.7296,303.7386,303.5434,306.4155,303.6495
Satna,2019,318.1885,307.9849,302.3571,302.3785,302.3747,302.9272
Sehore,2010,317.2415,308.8309,301.5519,305.055,308.8521,306.2402
Sehore,2011,317.6196,306.237,301.4294,304.6198,309.3429,307.153
Sehore,2012,316.5134,309.2923,302.1373,304.6082,309.2918,305.3164
Sehore,2013,315.6341,300.405,299.8696,306.4134,308.4259,304.0409
Sehore,2014,317.4952,312.681,305.8266,304.4631,308.7383,307.4282
Sehore,2015,318.2814,307.9457,300.1988,307.1426,311.2499,307.5099
Sehore,2016,317.5463,302.1571,299.7655,304.8488,308.271,306.001
Sehore,2017,316.1627,308.639,301.9586,305.4878,309.2273,305.2564
Sehore,2018,313.1242,308.0915,296.9376,305.979,310.2147,306.0472
Sehore,2019,321.0226,309.4526,300.0077,300.9339,304.4113,304.7198
Seoni,2010,316.4377,308.6343,302.1271,302.7597,304.4519,302.9714
Seoni,2011,317.129,304.1678,302.2627,303.271,306.0526,305.0583
