Temperature - (Celsius), Year, Element, Area
27.2957, 2010, AUG, Dewas
32.6775, 2010, SEP, Dewas
35.6587, 2010, OCT, Dewas
32.7592, 2010, NOV, Dewas
43.338, 2011, JUN, Dewas
32.3557, 2011, JUL, Dewas
27.9015, 2011, AUG, Dewas
32.2708, 2011, SEP, Dewas
35.7696, 2011, OCT, Dewas
33.7283, 2011, NOV, Dewas
43.1575, 2012, JUN, Dewas
37.8986, 2012, JUL, Dewas
28.4445, 2012, AUG, Dewas
31.4431, 2012, SEP, Dewas
35.2351, 2012, OCT, Dewas
31.9682, 2012, NOV, Dewas
40.7196, 2013, JUN, Dewas
27.0327, 2013, JUL, Dewas
